日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-09-29,600019,11.63,11.65,11.68,11.63,309119,153464012.0,0.43,0.09,0.01,0.14
2020-09-30,600019,11.67,11.69,11.73,11.63,384025,191668684.0,0.86,0.34,0.04,0.17
2020-10-09,600019,11.74,11.76,11.79,11.73,422973,213483491.0,0.51,0.6,0.07,0.19
2020-10-12,600019,11.76,11.81,11.81,11.76,573181,290788368.0,0.43,0.43,0.05,0.26
2020-10-13,600019,11.79,11.75,11.8,11.74,318551,160619540.0,0.51,-0.51,-0.06,0.14
2020-10-14,600019,11.75,11.7,11.75,11.69,433949,217214179.0,0.51,-0.43,-0.05,0.2
2020-10-15,600019,11.7,11.72,11.75,11.69,402957,202148671.0,0.51,0.17,0.02,0.18
2020-10-16,600019,11.75,11.96,12.0,11.72,1975496,1017965824.0,2.39,2.05,0.24,0.89
2020-10-19,600019,11.97,12.07,12.24,11.96,1770843,947328368.0,2.34,0.92,0.11,0.8
2020-10-20,600019,12.08,11.87,12.11,11.84,1250674,647662032.0,2.24,-1.66,-0.2,0.56
2020-10-21,600019,11.91,11.96,11.98,11.85,649118,336246048.0,1.1,0.76,0.09,0.29
2020-10-22,600019,11.94,11.95,12.04,11.89,652159,339346816.0,1.25,-0.08,-0.01,0.29
2020-10-23,600019,11.95,12.11,12.19,11.92,1093960,582014896.0,2.26,1.34,0.16,0.49
2020-10-26,600019,12.13,12.13,12.26,12.0,1199562,641899776.0,2.15,0.17,0.02,0.54
2020-10-27,600019,12.13,12.23,12.24,12.04,1372849,738041104.0,1.65,0.82,0.1,0.62
2020-10-28,600019,12.23,12.26,12.29,12.14,1209992,657268432.0,1.23,0.25,0.03,0.55
2020-10-29,600019,12.22,12.34,12.42,12.14,1234418,676617328.0,2.28,0.65,0.08,0.56
2020-10-30,600019,12.29,12.12,12.41,12.11,1705208,925641968.0,2.43,-1.78,-0.22,0.77
2020-11-02,600019,12.12,12.37,12.37,12.11,1761399,966770480.0,2.15,2.06,0.25,0.8
2020-11-03,600019,12.41,12.42,12.47,12.31,1243335,694383536.0,1.29,0.4,0.05,0.56
2020-11-04,600019,12.42,12.62,12.64,12.35,1192628,674761792.0,2.33,1.61,0.2,0.54
2020-11-05,600019,12.68,13.07,13.12,12.65,2466087,1478601712.0,3.72,3.57,0.45,1.11
2020-11-06,600019,13.06,13.16,13.17,12.94,1539983,942705872.0,1.76,0.69,0.09,0.7
2020-11-09,600019,13.3,13.58,13.59,13.13,2304594,1476559456.0,3.5,3.19,0.42,1.04
2020-11-10,600019,13.62,13.47,13.72,13.35,1968370,1278908960.0,2.72,-0.81,-0.11,0.89
2020-11-11,600019,13.44,13.4,13.59,13.35,1364162,878932464.0,1.78,-0.52,-0.07,0.62
2020-11-12,600019,13.39,13.4,13.41,13.18,1318859,832215104.0,1.72,0.0,0.0,0.6
2020-11-13,600019,13.29,13.35,13.47,13.23,1007701,638261424.0,1.79,-0.37,-0.05,0.45
2020-11-16,600019,13.39,13.58,13.64,13.28,1577974,1018993200.0,2.7,1.72,0.23,0.71
2020-11-17,600019,13.55,13.36,13.61,13.26,1117395,716795584.0,2.58,-1.62,-0.22,0.5
2020-11-18,600019,13.31,13.3,13.51,13.2,1204871,763626656.0,2.32,-0.45,-0.06,0.54
2020-11-19,600019,13.3,13.28,13.37,13.12,1062750,665729760.0,1.88,-0.15,-0.02,0.48
2020-11-20,600019,13.29,13.52,13.55,13.22,1190938,763673952.0,2.48,1.81,0.24,0.54
2020-11-23,600019,13.52,13.4,13.68,13.31,1843511,1188132592.0,2.74,-0.89,-0.12,0.83
2020-11-24,600019,13.44,13.56,13.59,13.33,1370506,886726432.0,1.94,1.19,0.16,0.62
2020-11-25,600019,13.64,13.39,13.67,13.39,1159019,751563984.0,2.06,-1.25,-0.17,0.52
2020-11-26,600019,13.4,13.39,13.44,13.26,618882,392836864.0,1.34,0.0,0.0,0.28
2020-11-27,600019,13.36,13.31,13.58,13.18,1468158,930574736.0,2.99,-0.6,-0.08,0.66
2020-11-30,600019,13.31,13.18,13.57,13.18,1605290,1023652768.0,2.93,-0.98,-0.13,0.72
2020-12-01,600019,13.28,13.29,13.31,13.14,1190910,744693616.0,1.29,0.83,0.11,0.54
2020-12-02,600019,13.35,13.5,13.5,13.29,1306453,835380592.0,1.58,1.58,0.21,0.59
2020-12-03,600019,13.42,13.17,13.45,13.14,1623038,1014941264.0,2.3,-2.44,-0.33,0.73
2020-12-04,600019,13.13,13.01,13.13,12.8,1652041,996121456.0,2.51,-1.21,-0.16,0.75
2020-12-07,600019,13.01,12.87,13.06,12.79,1338796,797688432.0,2.08,-1.08,-0.14,0.6
2020-12-08,600019,12.91,12.89,12.96,12.84,615778,368388208.0,0.93,0.16,0.02,0.28
2020-12-09,600019,12.91,12.83,13.01,12.8,714086,427445728.0,1.63,-0.47,-0.06,0.32
2020-12-10,600019,12.92,13.12,13.16,12.91,1602167,979737840.0,1.95,2.26,0.29,0.72
2020-12-11,600019,13.19,13.06,13.22,12.85,1125260,682622608.0,2.82,-0.46,-0.06,0.51
2020-12-14,600019,12.98,12.87,13.03,12.73,1137272,674074752.0,2.3,-1.45,-0.19,0.51
2020-12-15,600019,12.89,12.81,12.92,12.7,830218,487823648.0,1.71,-0.47,-0.06,0.37
2020-12-16,600019,12.83,12.78,12.94,12.72,706069,417196720.0,1.72,-0.23,-0.03,0.32
2020-12-17,600019,12.79,13.07,13.08,12.74,1225986,739559824.0,2.66,2.27,0.29,0.55
2020-12-18,600019,13.05,13.2,13.31,13.05,1016175,632123856.0,1.99,0.99,0.13,0.46
2020-12-21,600019,13.22,13.17,13.34,13.12,868132,541125072.0,1.67,-0.23,-0.03,0.39
2020-12-22,600019,13.2,12.84,13.25,12.8,1254827,762098464.0,3.42,-2.51,-0.33,0.57
2020-12-23,600019,12.83,12.96,12.97,12.79,817995,489120960.0,1.4,0.93,0.12,0.37
2020-12-24,600019,12.97,12.85,13.05,12.81,522520,313300240.0,1.85,-0.85,-0.11,0.24
2020-12-25,600019,12.83,13.0,13.01,12.81,516053,310510544.0,1.56,1.17,0.15,0.23
2020-12-28,600019,12.97,12.91,13.01,12.85,604222,361986512.0,1.23,-0.69,-0.09,0.27
2020-12-29,600019,12.94,12.78,12.95,12.76,673689,400107824.0,1.47,-1.01,-0.13,0.3
2020-12-30,600019,12.81,12.89,12.95,12.79,575629,343416976.0,1.25,0.86,0.11,0.26
2020-12-31,600019,12.86,12.86,12.91,12.79,638017,379025792.0,0.93,-0.23,-0.03,0.29
2021-01-04,600019,12.87,13.03,13.08,12.8,1029537,622565296.0,2.18,1.32,0.17,0.46
2021-01-05,600019,13.03,12.85,13.03,12.73,1261376,748292704.0,2.3,-1.38,-0.18,0.57
2021-01-06,600019,12.8,12.86,12.95,12.8,1020155,606985776.0,1.17,0.08,0.01,0.46
2021-01-07,600019,12.95,13.36,13.37,12.95,2365570,1468944528.0,3.27,3.89,0.5,1.07
2021-01-08,600019,13.4,13.61,13.61,13.18,1786939,1146088480.0,3.22,1.87,0.25,0.81
2021-01-11,600019,13.63,13.28,13.72,13.24,1827305,1178488336.0,3.53,-2.42,-0.33,0.82
2021-01-12,600019,13.23,13.35,13.42,13.2,1097600,693006720.0,1.66,0.53,0.07,0.5
2021-01-13,600019,13.29,13.53,13.63,13.19,1488990,958308800.0,3.3,1.35,0.18,0.67
2021-01-14,600019,13.47,13.95,13.98,13.26,2376020,1568780880.0,5.32,3.1,0.42,1.07
2021-01-15,600019,13.84,13.35,13.89,13.34,2232392,1455045824.0,3.94,-4.3,-0.6,1.01
2021-01-18,600019,13.24,13.28,13.35,13.14,1086157,681459520.0,1.57,-0.52,-0.07,0.49
2021-01-19,600019,13.28,13.18,13.29,13.12,1073864,666979040.0,1.28,-0.75,-0.1,0.48
2021-01-20,600019,13.64,13.92,13.94,13.64,3761768,2544562432.0,2.28,5.61,0.74,1.69
2021-01-21,600019,13.84,13.91,13.95,13.73,2029894,1369453616.0,1.58,-0.07,-0.01,0.91
2021-01-22,600019,13.86,13.72,13.87,13.7,1234578,826380656.0,1.22,-1.37,-0.19,0.56
2021-01-25,600019,13.66,13.94,14.18,13.64,1811142,1232486912.0,3.94,1.6,0.22,0.82
2021-01-26,600019,13.9,14.18,14.33,13.9,2412877,1692785280.0,3.08,1.72,0.24,1.09
2021-01-27,600019,14.2,14.12,14.39,14.06,1507246,1060304240.0,2.33,-0.42,-0.06,0.68
2021-01-28,600019,14.02,13.89,14.13,13.84,1328639,909563120.0,2.05,-1.63,-0.23,0.6
2021-01-29,600019,13.9,13.61,13.97,13.53,1412590,940907280.0,3.17,-2.02,-0.28,0.64
2021-02-01,600019,13.58,13.63,13.7,13.47,997786,653434656.0,1.69,0.15,0.02,0.45
2021-02-02,600019,13.58,13.55,13.64,13.36,1198843,774966368.0,2.05,-0.59,-0.08,0.54
2021-02-03,600019,13.5,13.72,13.8,13.4,1239784,817894992.0,2.95,1.25,0.17,0.56
2021-02-04,600019,13.64,13.72,13.75,13.4,1397209,911741760.0,2.55,0.0,0.0,0.63
2021-02-05,600019,13.7,13.74,13.92,13.64,1027631,689781136.0,2.04,0.15,0.02,0.46
2021-02-08,600019,13.75,13.95,13.96,13.68,1279489,866299760.0,2.04,1.53,0.21,0.58
2021-02-09,600019,13.9,14.06,14.11,13.84,1166813,805495536.0,1.94,0.79,0.11,0.53
2021-02-10,600019,14.03,13.91,14.05,13.8,1640144,1115368416.0,1.78,-1.07,-0.15,0.74
2021-02-18,600019,14.14,14.33,14.44,14.13,2058832,1460968752.0,2.23,3.02,0.42,0.93
2021-02-19,600019,14.24,14.48,14.48,14.2,1541363,1108851392.0,1.95,1.05,0.15,0.69
2021-02-22,600019,14.69,15.36,15.38,14.61,4292217,3380377232.0,5.32,6.08,0.88,1.93
2021-02-23,600019,15.47,15.29,15.56,15.17,2727496,2180775504.0,2.54,-0.46,-0.07,1.23
2021-02-24,600019,15.25,14.8,15.31,14.73,2320585,1776868480.0,3.79,-3.2,-0.49,1.04
2021-02-25,600019,14.96,15.06,15.24,14.95,2163042,1683984576.0,1.96,1.76,0.26,0.97
2021-02-26,600019,14.72,14.78,15.02,14.62,1809625,1364705696.0,2.66,-1.86,-0.28,0.81
2021-03-01,600019,14.88,15.41,15.56,14.88,2876016,2269520528.0,4.6,4.26,0.63,1.29
2021-03-02,600019,15.6,15.35,15.8,15.18,2395251,1948856480.0,4.02,-0.39,-0.06,1.08
2021-03-03,600019,15.56,16.27,16.31,15.55,4463347,3777897328.0,4.95,5.99,0.92,2.01
2021-03-04,600019,16.07,16.1,16.66,16.01,3827853,3352281520.0,4.0,-1.04,-0.17,1.72
2021-03-05,600019,15.63,15.28,15.73,15.19,3035464,2430832656.0,3.35,-5.09,-0.82,1.37
2021-03-08,600019,15.61,15.4,15.97,15.24,2418189,1990606208.0,4.78,0.79,0.12,1.09
2021-03-09,600019,15.38,15.96,16.38,15.23,4174918,3548002272.0,7.47,3.64,0.56,1.88
2021-03-10,600019,15.75,15.73,16.46,15.56,2674663,2279932720.0,5.64,-1.44,-0.23,1.2
2021-03-11,600019,15.73,16.42,16.51,15.58,2762262,2374286816.0,5.91,4.39,0.69,1.24
2021-03-12,600019,16.64,16.67,16.77,16.17,3041163,2718844544.0,3.65,1.52,0.25,1.37
2021-03-15,600019,16.83,16.74,17.24,16.4,2637156,2421126240.0,5.04,0.42,0.07,1.19
2021-03-16,600019,16.51,16.52,16.61,16.11,2026687,1784059392.0,2.99,-1.31,-0.22,0.91
2021-03-17,600019,16.29,16.19,16.38,15.83,2283729,1960645696.0,3.33,-2.0,-0.33,1.03
2021-03-18,600019,16.3,16.49,16.86,16.14,1923781,1717766752.0,4.45,1.85,0.3,0.87
2021-03-19,600019,16.24,16.61,16.67,16.21,1757440,1564790544.0,2.79,0.73,0.12,0.79
2021-03-22,600019,16.77,16.53,17.13,16.51,1605602,1469911152.0,3.73,-0.48,-0.08,0.72
2021-03-23,600019,16.44,16.02,16.71,15.95,1965851,1701479056.0,4.6,-3.09,-0.51,0.89
2021-03-24,600019,15.91,15.4,15.91,15.27,2340910,1898937056.0,4.0,-3.87,-0.62,1.05
2021-03-25,600019,15.25,15.27,15.5,15.06,1641132,1298783248.0,2.86,-0.84,-0.13,0.74
2021-03-26,600019,15.39,15.53,15.6,15.34,1032976,836931952.0,1.7,1.7,0.26,0.47
2021-03-29,600019,15.62,15.62,15.79,15.42,1555152,1275913872.0,2.38,0.58,0.09,0.7
2021-03-30,600019,15.55,15.6,15.66,15.38,1095785,891883504.0,1.79,-0.13,-0.02,0.49
2021-03-31,600019,15.73,15.46,15.75,15.39,927707,752843760.0,2.31,-0.9,-0.14,0.42
