日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,reward,step,action,asset,balance,stock_owned
2000-12-12,600019,4.96,6.09,7.36,4.88,3122397,1818469000.0,59.33,45.69,1.91,69.39,0.0,0,0,0.0,0.0,0
2000-12-13,600019,5.81,5.7,5.94,5.69,961020,554640000.0,4.11,-6.4,-0.39,21.36,0.0,0,0,0.0,0.0,0
2000-12-14,600019,5.68,5.58,5.7,5.5,470457,261534000.0,3.51,-2.11,-0.12,10.45,0.0,0,0,0.0,0.0,0
2000-12-15,600019,5.58,5.53,5.65,5.52,162022,90166000.0,2.33,-0.9,-0.05,3.6,0.0,0,0,0.0,0.0,0
2000-12-18,600019,5.53,5.34,5.54,5.28,231549,123828000.0,4.7,-3.44,-0.19,5.15,0.0,0,0,0.0,0.0,0
2000-12-19,600019,5.34,5.35,5.45,5.32,117739,63241000.0,2.43,0.19,0.01,2.62,0.0,0,0,0.0,0.0,0
2000-12-20,600019,5.35,5.29,5.36,5.26,149366,78994000.0,1.87,-1.12,-0.06,3.32,0.0,0,0,0.0,0.0,0
2000-12-21,600019,5.3,5.36,5.43,5.28,139579,74357000.0,2.84,1.32,0.07,3.1,0.0,0,0,0.0,0.0,0
2000-12-22,600019,5.36,5.38,5.44,5.35,102084,54985000.0,1.68,0.37,0.02,2.27,0.0,0,0,0.0,0.0,0
2000-12-25,600019,5.4,5.4,5.45,5.39,102861,55703000.0,1.12,0.37,0.02,2.29,-250.10800000000745,0,14,126999.89199999999,110799.89199999999,3000
2000-12-26,600019,5.4,5.32,5.42,5.3,91465,48731000.0,2.22,-1.48,-0.08,2.03,-240.09575999999652,1,16,126759.79624,120375.79624,1200
2000-12-27,600019,5.34,5.33,5.37,5.3,55631,29663000.0,1.32,0.19,0.01,1.24,11.942436000012094,2,19,126771.73867600001,126132.138676,120
2000-12-28,600019,5.33,5.38,5.41,5.3,97373,51996000.0,2.06,0.94,0.05,2.16,5.369356399984099,3,5,126777.10803239999,63067.1480324,11842
2000-12-29,600019,5.4,5.42,5.43,5.38,65077,35241000.0,0.93,0.74,0.04,1.45,473.17550640000263,4,8,127250.2835388,12617.283538799995,21150
2001-01-02,600019,5.45,5.59,5.59,5.45,149368,82921000.0,2.58,3.14,0.17,3.32,3595.3817714999896,5,11,130845.66531029998,24440.015310299998,19035
2001-01-03,600019,5.6,5.72,5.8,5.6,228132,129938000.0,3.58,2.33,0.13,5.07,2474.427820800018,6,5,133320.0931311,12221.973131099996,21171
2001-01-04,600019,5.72,5.62,5.74,5.6,130374,73829000.0,2.45,-1.75,-0.1,2.9,-2117.5759016000084,7,14,131202.5172295,59811.65722950001,12703
2001-01-05,600019,5.61,5.58,5.61,5.55,74169,41325000.0,1.07,-0.71,-0.04,1.65,-508.82882739997876,8,20,130693.68840210002,130693.68840210002,0
2001-01-08,600019,5.58,5.81,5.86,5.54,213055,121900000.0,5.73,4.12,0.23,4.73,-500.0,9,18,130693.68840210002,130693.68840210002,0
2001-01-09,600019,5.81,5.8,5.88,5.75,169404,98473000.0,2.24,-0.17,-0.01,3.76,-500.0,10,20,130693.68840210002,130693.68840210002,0
2001-01-10,600019,5.8,5.81,5.87,5.8,126340,73725000.0,1.21,0.17,0.01,2.81,0.0,11,0,130693.68840210002,130693.68840210002,0
2001-01-11,600019,5.81,5.85,5.87,5.75,161397,94064000.0,2.07,0.69,0.04,3.59,-0.6534450000035577,12,5,130693.03495710001,65348.53495710002,11170
2001-01-12,600019,5.86,6.02,6.05,5.86,308342,184560000.0,3.25,2.91,0.17,6.85,1898.3119062000042,13,9,132591.34686330002,6538.566863300017,20939
2001-01-15,600019,6.05,5.85,6.08,5.81,226593,135536000.0,4.49,-2.82,-0.17,5.04,-3560.2424365000043,14,15,129031.10442680001,67781.60442680001,10470
2001-01-16,600019,5.78,6.2,6.25,5.75,332151,201993000.0,8.55,5.98,0.35,7.38,3663.9806880000106,15,18,132695.08511480002,119712.28511480002,2094
2001-01-17,600019,6.22,6.2,6.28,6.12,198642,123491000.0,2.58,0.0,0.0,4.41,-0.12982800000463612,16,20,132694.95528680002,132694.95528680002,0
2001-01-18,600019,6.2,6.4,6.45,6.2,315581,201448000.0,4.03,3.23,0.2,7.01,-0.1326720000070054,17,1,132694.8226148,119427.62261480001,2073
2001-01-19,600019,6.45,6.44,6.5,6.39,326464,210730000.0,1.72,0.63,0.04,7.25,82.89333839999745,18,12,132777.7159532,122093.75595320002,1659
2001-02-05,600019,6.45,6.2,6.5,6.18,232125,146457000.0,4.97,-3.73,-0.24,5.16,-398.24227399998927,19,18,132379.47367920002,130321.07367920001,332
2001-02-06,600019,6.18,6.4,6.45,6.0,218697,135194000.0,7.26,3.23,0.2,4.86,66.38937599997735,20,15,132445.8630552,131383.4630552,166
2001-02-07,600019,6.4,6.32,6.46,6.29,139584,89228000.0,2.66,-1.25,-0.08,3.1,-13.285245600010967,21,15,132432.57780959998,131908.0178096,83
2001-02-08,600019,6.3,6.17,6.37,6.12,105941,65978000.0,3.96,-2.37,-0.15,2.35,-12.581852900009835,22,1,132419.99595669998,118722.59595669998,2220
2001-02-09,600019,6.17,6.19,6.3,6.08,108970,67287000.0,3.57,0.32,0.02,2.42,43.68771669999114,23,6,132463.68367339997,47493.553673399976,13727
2001-02-12,600019,6.19,6.2,6.25,6.05,70763,43533000.0,3.23,0.16,0.01,1.57,137.08003199999803,24,4,132600.76370539996,28496.563705399974,16791
2001-02-13,600019,6.2,6.25,6.28,6.18,65893,40988000.0,1.61,0.81,0.05,1.46,838.7105000000156,25,18,133439.47420539998,112445.72420539998,3359
2001-02-14,600019,6.24,6.17,6.24,6.13,44011,27220000.0,1.76,-1.28,-0.08,0.98,-269.7319417000108,26,9,133169.74226369997,11250.542263699972,19760
2001-02-15,600019,6.17,6.12,6.22,6.09,52125,31990000.0,2.11,-0.81,-0.05,1.16,-988.4837247999967,27,14,132181.25853889997,59622.53853889998,11856
2001-02-16,600019,6.1,6.12,6.12,6.06,68671,41831000.0,0.98,0.0,0.0,1.53,-0.7255871999950614,28,20,132180.53295169998,132180.53295169998,0
2001-02-19,600019,6.13,6.18,6.19,6.07,46802,28654000.0,1.96,0.98,0.06,1.04,-1.1895882000098936,29,9,132179.34336349997,13220.523363499975,19249
2001-02-20,600019,6.17,6.19,6.24,6.12,53688,33204000.0,1.94,0.16,0.01,1.19,191.2984869000211,30,20,132370.6418504,132370.6418504,0
2001-02-21,600019,6.17,6.08,6.17,6.05,72934,44396000.0,1.94,-1.78,-0.11,1.62,0.0,31,0,132370.6418504,132370.6418504,0
2001-02-22,600019,6.06,6.08,6.12,6.02,37368,22705000.0,1.64,0.0,0.0,0.83,0.0,32,0,132370.6418504,132370.6418504,0
